	Sentence
837	Lord, there is none like You
838	For You are holy
839	You are holy
840	For You are holy
841	Lord You are holy
842	O God, there's none like you
843	In all the earth, in all the earth
844	O God, who can compare
845	To You, to You
846	Only You are never sinning
847	Only You have never lied
848	Only You cannot be tempted
849	Only You can never die
850	Lord, there is none like You
851	Three In One
852	Come now, Almighty King
853	Rule and reign over us
854	Help us Your praise to sing, Father, glorious
855	Embracing us before all time
856	You made us heirs with Christ on high
857	By Your Spirit now we cry
858	Abba, Father
859	We long for the day, Great One in Three
860	We finally behold Your majesty
861	Face to face, we'll worship and adore
862	Forevermore
863	Speak now, Incarnate Word
864	Of Your relentless love
865	Bearing our fatal curse with Your living blood
866	When guilt and doubt come rushing in
867	Help us see Your cross again
868	You're the Rock on which we live
869	Jesus, Savior
870	We long for the day, Great One in Three
871	We finally behold Your majesty
872	Face to face, we'll worship and adore
873	Forevermore
874	Come, Holy Comforter
875	Give grace to weary hearts
876	Bring back the wanderer, drive away the dark
877	You're the summer of our souls
878	You're the fountain of our hope
879	Our assurance here below
880	Spirit of the Son
881	We long for the day, Great One in Three
882	We finally behold Your majesty
883	Face to face, we'll worship and adore
884	Forevermore
885	Your Love
886	Your love will last forever
887	It's like a mighty river
888	That flows and flows forever
889	Never stopping
890	Your awesome love protects me
891	When I sin Your love corrects me
892	You're faithful to direct me
893	Always to Your love
894	And when I think of all You've done
895	There's no love greater than this
896	You freely gave Your precious Son
897	To die for all my sins
898	And when I choose to disobey
899	You lead me back to Your truth
900	You show the fullness of Your love
901	By making me like You
902	Sovereign One
903	When I'm all alone and afraid
904	I will trust in You
905	For You watch over my ways
906	When things in my life don't make sense
907	I will trust in You
908	For You are good, You are good
909	Sovereign One
910	You work all things to Your plan
911	Sovereign One
912	You hold all things in Your hands
913	When I don't get to have my own way
914	I will trust in You
915	For You know what is best
916	When tears begin to roll down my face
917	I will trust in You
918	For You are good, You are good
919	Sovereign One
920	You work all things to Your plan
921	Sovereign One
922	You hold all things in Your hands
923	Perfect in power, You control all things
924	Perfect in wisdom, You know everything
925	Perfect in goodness
926	Jesus, You're so good to me
927	So good to me
928	For you are Sovereign One
929	You work all things to Your plan
930	Sovereign One
931	You hold all things in Your hands
932	Sovereign One
933	You work all things to Your plan
934	Sovereign One
935	You hold all things in Your hands
