	Sentence
4331	I had no hope that You would own
4332	A rebel to Your will
4333	And if You had not loved me first
4334	I would refuse You still
4335	But as I ran my hell-bound race
4336	Indifferent to the cost
4337	You looked upon my helpless state
4338	And led me to the cross
4339	And I beheld God's love displayed
4340	You suffered in my place
4341	You bore the wrath reserved for me
4342	Now all I know is grace
4343	Hallelujah! All I have is Christ
4344	Hallelujah! Jesus is my life
4345	Hallelujah! All I have is Christ
4346	Hallelujah! Jesus is my life
4347	Now, Lord, I would be Yours alone
4348	And live so all might see
4349	The strength to follow Your commands
4350	Could never come from me
4351	Oh Father, use my ransomed life
4352	In any way You choose
4353	And let my song forever be
4354	My only boast is You
4355	Hallelujah! All I have is Christ
4356	Hallelujah! Jesus is my life
4357	Hallelujah! All I have is Christ
4358	Hallelujah! Jesus is my life
4359	Name Above All Names
4360	From the brightness of His glory
4361	Jesus, the Son of God, descends
4362	Takes on the nature of a servant
4363	Jesus, obedient to death
4364	The Father willed to crush Him
4365	As a sacrifice for sin
4366	He satisfied God's justice
4367	And in victory rose again
4368	You are highly exalted
4369	Name above all names
4370	Worthy of all praise
4371	You are reigning in glory
4372	Jesus, You're the King
4373	Over everything
4374	Exalted to the highest place
4375	Given the Name above all other names
4376	The tomb is empty Christ has risen
4377	Jesus, the Lamb once crucified
4378	The angels never cease to worship
4379	Jesus, in heaven glorified
4380	To Him belongs the power
4381	The wisdom, might, and strength
4382	All glory and dominion
4383	To the Lord of every age
4384	Our knees will bow
4385	Our tongues proclaim
4386	That You are Lord of all
4387	By This We Know Love
4388	God of all creations
4389	Lord of heaven's light
4390	Descended into evil's darkest night
4391	Infinitely holy, Your perfections know no end
4392	Selflessly, You died my rightful death
4393	By this we know love
4394	That He laid own His love
4395	God's very own Son came from Heaven to die
4396	Suspended He hung
4397	As He shed His own blood
4398	What grace in His pardon
4399	By this we know love
4400	God of all creations
4401	Lord of heaven's light
4402	Descended into evil's darkest night
4403	Infinitely holy, Your perfection know no end
4404	Selflessly, You died my rightful death
4405	By this we know love
4406	That He laid down His life
4407	God's very own Son came from Heaven to die
4408	Suspended He hung
4409	As He shed His own blood
4410	What grace in His pardon
4411	By this
4412	By this we know love
4413	That He laid down His life
4414	God's very own Son came from Heaven to die
4415	Suspended He hung
4416	As He shed His own blood
4417	What grace in His pardon
4418	By this we know love
4419	Forsaken man of sorrows
4420	Hated by all men
4421	You willingly surrendered for my sin
4422	Scornfully derided
4423	In silence stumbling on
4424	Bearing wrath for all that I've done wrong
4425	By this we know love
4426	That He laid down His life
4427	God's very own Son came from Heaven to die
4428	Suspended He hung
4429	As He shed His own blood
4430	What grace in His pardon
4431	By this
4432	By this we know love
4433	That He laid down His life
4434	God's very own Son came from Heaven to die
4435	Suspended He hung
4436	As He shed His own blood
4437	What grace in His pardon
4438	By this we know love
4439	He Is Jesus
4440	There's a treasure great in beauty
4441	Far surpassing earth's great wealth
4442	He is Jesus, Prince of Glory
4443	Source of all grace, peace and health
4444	There's a fountain ever flowing
4445	Satisfying all who drink
4446	It is Jesus, Spring of Joy
4447	To all who hail Him as their King
4448	There's a power, holy power
4449	Breaking bonds of captive men
4450	He is Jesus, mighty Jesus
4451	Holy warrior and sinner's friend
4452	There's a Savior rich in mercy
4453	Quick to pardon all our sins
4454	It is Jesus, Great Redeemer
4455	Reconciling God and man
4456	There's a glorious Lord returning
4457	And all will bow to Him alone
4458	He is Jesus, King of Nations
4459	Reigning from His gracious throne
4460	There is One to whom our praises
4461	Will through every age ascend
4462	It is Jesus, King forever
4463	Whose wondrous rule will never end
4464	His Name Is Jesus
4465	All hail the power of Jesus' name
4466	Let angels prostrate fall
4467	Bring forth the royal diadem and
4468	Crown Him Lord of all
4469	Bring forth the royal diadem and
4470	Crown Him Lord of all
4471	His name is Jesus
4472	Risen Lamb, for sinners slain
4473	His name is Jesus
4474	All creation sings the praise
4475	Of Jesus name
4476	All hail the power of Jesus' name
4477	Let angels prostrate fall
4478	Bring forth the royal diadem and
4479	Crown Him Lord of all
4480	Bring forth the royal diadem and
4481	Crown Him Lord of all
4482	Ye chosen seed of Israel's race
4483	Ye ransomed from the fall
4484	Hail Him who saves us by His grace and
4485	Crown Him Lord of all
4486	Hail Him who saves you by His grace and
4487	Crown Him Lord of all
4488	His name is Jesus
4489	Risen Lamb, for sinners slain
4490	His name is Jesus
4491	All creation sings the praise
4492	His name is Jesus
4493	Risen Lamb, for sinners slain
4494	His name is Jesus
4495	All creation sings the praise
4496	Of Jesus name
4497	Let every kindred, every tribe
4498	On this terrestrial ball
4499	To Him all majesty ascribe and
4500	Crown Him Lord of all
4501	To Him all majesty ascribe and
4502	Crown Him Lord of all
4503	His name is Jesus
4504	Risen Lamb, for sinners slain
4505	His name is Jesus
4506	All creation sings the praise
4507	His name is Jesus
4508	Risen Lamb, for sinners slain
4509	His name is Jesus
4510	All creation sings the praise
4511	Of Jesus name
4512	God Over All
4513	God over all
4514	Giver of life and health and breath
4515	I want to sing of Your love
4516	Came as a man
4517	Humble, You died the sinner's death
4518	I want to sing of Your love
4519	Your love has saved me
4520	By Your grace I now draw near, and
4521	Your love has set me
4522	Free to glorify Your name
4523	And I, I want to sing of Your love
4524	I'll never forget
4525	That You have bought me with Your blood
4526	I want to sing of Your love
4527	In all I do
4528	May Your great love be shining through
4529	I want to sing of Your love
4530	And on that day
4531	When You come back to claim Your own
4532	Yes, we will sing of Your love
4533	Then we'll bow down
4534	Praise You forever at Your throne
4535	Yes, we will sing of Your love
4536	I Will Cast My Cares
4537	Jesus, I'm frail, I'm so very weak
4538	My faithfulness fails, my courage will flee
4539	But You are my rock, my shelter and shade
4540	When I'm burdened down, You'll carry the weight
4541	So I will cast my cares on You
4542	Yes, I will cast my cares on You
4543	I will rest within Your arms
4544	Knowing I am safe from harm
4545	I will cast my cares on You
4546	When I'm overwhelmed and I cannot stand
4547	You hear every cry and You lift my head
4548	I'm desperate for grace and mercy anew
4549	I must have Your strength, Oh I must have You
4550	So I will cast my cares on You
4551	Yes, I will cast my cares on You
4552	I will rest within Your arms
4553	Knowing I am safe from harm
4554	I will cast my cares on You
4555	You are my faithfull God
4556	So I will cast my cares on You
4557	Yes, I will cast my cares on You
4558	Jesus
4559	I will rest within Your arms
4560	Knowing I am safe from harm
4561	I will cast my cares on You
4562	Every morning Your mercies anew
4563	You're always faithfull
4564	You are good, You are Good.
4565	O Wondrous Love
4566	O wondrous love that will not let me go
4567	I cling to You with all my strength and soul
4568	Yet if my hold should ever fail
4569	This wondrous love will never let me go
4570	O wondrous love that's come to dwell in me
4571	Lord who am I that I should come to know
4572	Your tender voice assuring me
4573	This wondrous love will never let me go
4574	I'm resting in the everlasting arms
4575	In the ever faithful heart
4576	The Shepherd of my life
4577	You'll carry me on Your mighty wings of grace
4578	Keeping me until the day
4579	I look into Your eyes
4580	O wondrous love that sings of Calvary
4581	The sweetest sound this sinner's ever known
4582	The song of Your redeeming Son
4583	Whose wondrous love will never let me go
4584	O wondrous love that rushes over me
4585	I can't escape this river's glorious flow
4586	You overwhelm my days with good
4587	Your wondrous love will never let me go
4588	Your Hand Upon Me
4589	O Lord You have searched me
4590	And You know my ways
4591	You perceive all my thoughts from afar
4592	Your hand is upon me wherever I go
4593	Before I form each word
4594	You already know
4595	If I rise on the wings of the dawn You are there
4596	If I rest on the far side of the sea
4597	Your love hems me in both behind and before
4598	You have laid Your hand upon me
4599	You have laid Your hand upon me
4600	Where can I flee from Your presence, O Lord
4601	If I sleep in the depths You are there
4602	Your day will consume all the shadows of night
4603	The dark cannot hide
4604	From Your brilliant light
4605	Here At the Throne
4606	How can I ever begin to thank You
4607	For all You've done for me
4608	You emptied Yourself Lord
4609	And You became poor
4610	To lavish grace on me
4611	And You have loved me Lord
4612	With an everlasting love
4613	So here at the throne of grace I stand
4614	To exalt the great I AM
4615	Where the blood of Jesus covers me
4616	Here at the throne of grace I stand
4617	Finding mercy at Your hand
4618	And Your mighty power in time of need
4619	Here at the throne of grace
4620	In You is mercy and sweet forgiveness
4621	And cleansing of my sins
4622	In You is beauty all heaven's glory
4623	All holiness and strength
4624	And You have loved me Lord
4625	With an everlasting love
4626	High Above All Things
4627	Give me a passion to see Your glory
4628	A heart that worships You alone
4629	Cleanse me, forgive me for my self-seeking
4630	That I may seek to make You known
4631	I want to serve You, I want to please You
4632	My one desire is to
4633	See the name of Jesus lifted
4634	High above all things
4635	And the knowledge of Your glory
4636	Fill the earth
4637	To see the name of Jesus lifted
4638	High above all things
4639	And a fragrant offering
4640	Ascending to the King in every place
4641	Your heart, Your passion to give all nations
4642	Gladness and joy in Jesus Christ
4643	Rivers of blessing, mercy and kindness
4644	Purchased by Your great sacrifice
4645	So we join our voices to sing Your praises
4646	Our one desire is to
4647	Across the Great Divide
4648	There is no more separation
4649	There is no more need to hide
4650	You have brought us near, O Jesus
4651	Across the great divide
4652	There is no more condemnation
4653	Since the blood flowed from Your side
4654	You have brought us near, O Jesus
4655	Across the great divide
4656	Oh glory to Your holy name
4657	For the distance that You came
4658	To bear my guilt and take my blame to save me
4659	From heaven to a cross of pain
4660	Oh the distance that You came
4661	So I will love You without shame
4662	You saved me, You saved me
4663	There is no more fear of judgment
4664	The Father's wrath is satisfied
4665	You have brought us near, O Jesus
4666	Across the great divide
4667	There's a way beyond the curtain
4668	Through our Priest and King on high
4669	You have brought us near, O Jesus
4670	Across the great divide
4671	Oh glory to Your holy name
4672	For the distance that You came
4673	To bear my guilt and take my blame to save me
4674	From heaven to a cross of pain
4675	Oh the distance that You came
4676	So I will love You without shame
4677	You saved me, You saved me
4678	Who Is Like Our God
4679	The Lord is not our equal
4680	He doesn't need the help of man
4681	Who could ever give Him counsel
4682	Who could ever stop His sovereign plan
4683	Though men may boast of wisdom
4684	And be filled with pride within
4685	Who is bold enough to answer
4686	When his Maker comes to question him
4687	Though rulers rise against Him
4688	The King of Heaven laughs
4689	He rebukes them in His anger
4690	And terrifies them in His wrath
4691	He punishes the wicked
4692	Pours judgment out on sin
4693	Yet this Champion of Justice
4694	Is a Savior if you call on Him
4695	And we call on the name
4696	Of the holy sovereign Lord
4697	The King of all the earth
4698	And we hope in the power
4699	Of His awesome mighty hand
4700	We tremble at His word
4701	Who is like our God
4702	The heavens sound with thunder
4703	As His majesty is shown
4704	The four and twenty elders
4705	Fall down and worship at His throne
4706	His eyes are flames of fire
4707	And His face is like the sun
4708	He's the Alpha and Omega
4709	The One who was and is to come
4710	Know You
4711	Come and shine Your Spirit's light
4712	Upon these darkened eyes
4713	Once again reveal Your majesty
4714	May I behold the splendor of
4715	The great redeeming Lamb
4716	The One whose wondrous grace possesses me
4717	Lord how I am longing
4718	‘Cause I want to know You
4719	And the love that passes comprehension
4720	Know You and the power of the Cross
4721	I want to know You
4722	And the glory of Your resurrection
4723	Lord I'm crying out for more of You
4724	Come and open up my ears
4725	To hear Your glorious truth
4726	Lord Your words are my soul's very life
4727	For I consider everything in this world as a loss
4728	Compared to You my treasure and delight
4729	Lord how I am longing
4730	Praise the Lord
4731	Praise the Lord, Oh praise His name
4732	From the heights of heav'n He reigns
4733	Seated in the highest place
4734	Surrounded by unending praise
4735	Praise Him for His mighty deeds
4736	Awesome in His majesty
4737	Praise Him now with trumpet sound
4738	Lift your voice and dance around
4739	Everything that has breath, praise the Lord
4740	Everything that's in us, praise Him
4741	Everything that has breath, praise the Lord
4742	Praise the Lord with instruments
4743	Praise Him for His excellence
4744	Look at what He's done for us
4745	Bore our sins upon the cross
4746	Praise the Lord with all you are
4747	Mind and soul and will and heart
4748	From His hand comes everything
4749	He alone is God and King
4750	The Lord Is
4751	The depths of Your grace who can measure
4752	You fully supply all I need
4753	You restore my weary soul again and again
4754	And lead me in Your righteousness and peace
4755	You're with me through every dark valley
4756	There's nothing that I have to fear
4757	You are there to comfort me again and again
4758	Protecting me, assuring me You're near
4759	The Lord is
4760	The Lord is my shepherd
4761	The Lord is
4762	The Lord is my shepherd
4763	I shall not want
4764	You gave Your own life for my ransom
4765	So I could rejoice at Your side
4766	You have shown Your faithfulness again and again
4767	There's nothing good that You will not provide
4768	The Lord is
4769	The Lord is my shepherd
4770	The Lord is
4771	The Lord is my shepherd
4772	I shall not want
4773	I will dwell in Your house
4774	All the days of my life
4775	I will dwell in Your house
4776	All the days of my life
4777	The Lord is
4778	The Lord is my shepherd
4779	The Lord is
4780	The Lord is my shepherd
4781	I shall not want
4782	Greater Than We Can Imagine
4783	Every day we'll bless You and praise Your name
4784	And on Your glorious splendor we will dwell
4785	On Your wondrous works, Lord, we'll meditate
4786	And of Your awesome power we will tell
4787	We'll speak of Your salvation and Your abundant goodness
4788	Because You are greater than we can imagine
4789	You are too beautiful for us to fathom
4790	Oh, You are great, and greatly to be praised
4791	Every generation shall sing Your worth
4792	And magnify Your mercy and Your grace
4793	We'll sing about the Savior who came to earth
4794	To bear the sins of those He came to save
4795	You fill our hearts with wonder
4796	We'll worship You forever
4797	A Debtor to Mercy
4798	A debtor to mercy alone
4799	Of covenant mercy I sing
4800	I come with Your righteousness on
4801	My humble offering to bring
4802	The judgments of Your holy law
4803	With me can have nothing to do
4804	My Savior's obedience and blood
4805	Hide all my transgressions
4806	From view
4807	The work which Your goodness began
4808	The arm of Your strength will complete
4809	Your promise is yes and amen
4810	And never was forfeited yet
4811	The future or things that are now
4812	No power below or above
4813	Can make You Your purpose forego
4814	Or sever my soul from Your love
4815	My name from the palms of Your hands
4816	Eternity will not erase
4817	Impressed on Your heart it remains
4818	In marks of indelible grace
4819	Yes I, to the end will endure
4820	Until I bow down at Your throne
4821	Forever and always secure
4822	Forever and always secure
4823	Forever and always secure
4824	A debtor to mercy alone
4825	Praise God
4826	And as the earth start to spit out the heat
4827	He will be near somehow
4828	Watching disasters and laughing on it
4829	As the bird start not to fly on the sky
4830	He will be near somehow
4831	Provokes people to be behind his lead
4832	The One Whom Earth Refuse
4833	Rush, blood
4834	There's no one sees him in the crowd
4835	Not human, nor a creature
4836	His hand are fulfilled by the blood
4837	Wreck and ash, people down
4838	Keep your eyes even in the crowd
4839	Dont give him any chance
4840	Tears drop from your eyes as sorrow start to lead
4841	He come from the dark, sing the song of the hell
4842	From the distance he takes behemoth with him
4843	Sing the song of hell
4844	He abolish all he see
4845	No one will live, and no one will survive
4846	No one will live, and no one will survive
4847	And as the earth start to spit out the heat
4848	He will be near somehow
4849	Watching disasters and laughing on it
4850	(on it)
4851	As the bird start not to fly on the sky
4852	He will be near somehow
4853	Provokes people to be behind his lead
4854	(his lead)
4855	Rush, blood
4856	There's no one sees him in the crowd
4857	Not human, nor a creature
4858	His hand are fulfilled by the blood
4859	Wreck and ash, people down
4860	Keep your eyes even in the crowd
4861	Dont give him any chance
4862	The One Whom Earth Refuse
4863	(Instument)
4864	And in the end you realise those all
4865	You are already late
4866	You're in the time when the world meets the end
4867	(copyright: Sovereign/Jakarta-Indonesia)
4868	Behold Our God
4869	Who has held the oceans in His hands?
4870	Who has numbered every grain of sand?
4871	Kings and nations tremble at His voice
4872	All creation rises to rejoice
4873	Behold our God seated on His throne
4874	Come, let us adore Him
4875	Behold our King—nothing can compare
4876	Come, let us adore Him
4877	Who has given counsel to the Lord?
4878	Who can question any of His words?
4879	Who can teach the One who knows all things?
4880	Who can fathom all His wondrous deeds?
4881	Who has felt the nails upon His hands?
4882	Bearing all the guilt of sinful man
4883	God eternal, humbled to the grave
4884	Jesus, Savior, risen now to reign
4885	You will reign forever
4886	Let Your glory fill the earth
4887	Come Praise and Glorify (Live)
4888	Come praise and glorify our God
4889	The Father of our Lord
4890	In Christ He has in heav’nly realms
4891	His blessings on us poured
4892	For pure and blameless in His sight
4893	He destined us to be
4894	And now we’ve been adopted through
4895	His Son eternally
4896	To the praise of Your glory
4897	To the praise of Your mercy and grace
4898	To the praise of Your glory
4899	You are the God who saves
4900	Come praise and glorify our God
4901	Who gives His grace in Christ
4902	In Him our sins are washed away
4903	Redeemed through sacrifice
4904	In Him God has made known to us
4905	The myst’ry of His will
4906	That Christ should be the head of all
4907	His purpose to fulfill
4908	To the praise of Your glory
4909	To the praise of Your mercy and grace
4910	To the praise of Your glory
4911	You are the God who saves
4912	Come praise and glorify our God
4913	For we’ve believed the Word
4914	And through our faith we have a seal
4915	The Spirit of the Lord
4916	The Spirit guarantees our hope
4917	Until redemption’s done
4918	Until we join in endless praise
4919	To God, the Three in One
4920	To the praise of Your glory
4921	To the praise of Your mercy and grace
4922	To the praise of Your glory
4923	You are the God who saves
4924	To the praise of Your glory
4925	To the praise of Your mercy and grace
4926	To the praise of Your glory
4927	You are the God who saves
4928	Glorious and Mighty
4929	Majesty, Your glory is shining
4930	Brighter than the moon and the stars
4931	Marveling, we honor and fear You
4932	Above all gods
4933	Glorious and mighty, You're awesome In beauty
4934	Joyful songs we raise
4935	Glorious and mighty, You're awesome in beauty
4936	Greatly to be praised
4937	Majesty, You fashioned the heavens
4938	Your decrees can never be changed
4939	Over all the plans of the nations
4940	Your judgments reign
4941	Glorious and mighty, You're awesome In beauty
4942	Joyful songs we raise
4943	Glorious and mighty, You're awesome in beauty
4944	Greatly to be praised
4945	Majesty, we'll sing with creation
4946	When You come again in the clouds
4947	Every knee will bow down and worship
4948	The one true God
4949	Glorious and mighty, You're awesome In beauty
4950	Joyful songs we raise
4951	Glorious and mighty, You're awesome in beauty
4952	Greatly to be praised
4953	Greatly to be praised
4954	Greatly to be praised
4955	The Fathers Love
4956	We do not have the lyrics for The Fathers Love yet.
4957	Now Why This Fear
4958	Now why this fear and unbelief?
4959	Has not the Father put to grief,
4960	His spotless Son for us?
4961	And will the righteous Judge of men
4962	Condemn me for that debt of sin
4963	Now canceled at the cross?
4964	Jesus, all my trust is in Your blood
4965	Jesus, You've rescued us
4966	Through Your great love
4967	Complete atonement You have made
4968	And by Your death have fully paid
4969	The debt Your people owed
4970	No wrath remains for us to face
4971	We're sheltered by Your saving grace
4972	And sprinkled with Your blood
4973	How sweet the sound of saving grace
4974	How sweet the sound of saving grace
4975	Christ died for me
4976	Be still my soul and know this peace
4977	The merits of your great high priest
4978	Have bought your liberty
4979	Rely then on His precious blood
4980	Don't fear your banishment from God
4981	Since Jesus sets you free
4982	Jesus, all my trust is in Your blood
4983	Jesus, You've rescued us
4984	Through Your great love
4985	How sweet the sound of saving grace
4986	How sweet the sound of saving grace
4987	Christ died for me
4988	How sweet the sound of saving grace
4989	How sweet the sound of saving grace
4990	Christ died for me
4991	Jesus, all my trust is in Your blood
4992	Jesus, You've rescued us
4993	Through Your great love
4994	The Father's Love
4995	We do not have the lyrics for The Father's Love yet.
4996	Jesus, Thank You
4997	The mystery of the cross I cannot comprehend
4998	The agonies of Calvary
4999	You the perfect Holy One, crushed Your Son
5000	Who drank the bitter cup reserved for me
5001	Your blood has washed away my sin
5002	Jesus, thank You
5003	The Father's wrath completely satisfied
5004	Jesus, thank You
5005	Once Your enemy, now seated at Your table
5006	Jesus, thank You
5007	By Your perfect sacrifice I've been brought near
5008	Your enemy You've made Your friend
5009	Pouring out the riches of Your glorious grace
5010	Your mercy and Your kindness know no end
5011	Lover of my soul
5012	I want to live for You
5013	Glory to God in the Highest
5014	Hear the angels sing of the King of kings
5015	Who made Himself poor
5016	See the mystery and the majesty
5017	The Creator is born
5018	Oh the Maker became a man
5019	Let us sing what the angels sang
5020	Glory to God in the highest
5021	Glory to God in the highest
5022	Our hope has appeared
5023	God has drawn near
5024	Glory to God alone
5025	See the One who spans the heavens with His hand
5026	With fingers so small
5027	See this babe so poor all of heaven adores
5028	He's the ruler of all
5029	Let us worship our humble King
5030	Adoration we humbly bring
5031	Create In Me
5032	Create in me a clean heart, oh God
5033	And renew a right spirit within me
5034	Create in me a clean heart, oh God
5035	And renew a right spirit within me
5036	Cast me not away from Thy presence, oh Lord
5037	And take not Thy holy spirit from me
5038	Restore unto me the joy of Thy salvation
5039	And renew a right spirit within me
5040	Create in me a clean heart, oh God
5041	And renew a right spirit within me
5042	Create in me a clean heart, oh God
5043	And renew a right spirit within me
5044	Cast me not away from Thy presence, oh Lord
5045	Take not Thy holy spirit from me
5046	Restore unto me the joy of Thy salvation
5047	And renew a right spirit within me
5048	Create in me a clean heart, oh God
5049	And renew a right spirit within me
5050	Create in me a clean heart, oh God
5051	And renew a right spirit within me
5052	Cast me not away from Thy presence, oh Lord
5053	Take not Thy holy spirit from me
5054	Restore unto me the joy of Thy salvation
5055	And renew a right spirit within me
5056	Taste and See
5057	When I was poor and helpless
5058	The Lord, He heard my cry
5059	He saved this wicked sinner
5060	The King redeemed my life
5061	Oh taste and see that God is good to us
5062	Taste and see His never-failing love
5063	Our God is good
5064	You're near me when I'm broken
5065	My comfort when I'm crushed
5066	My hope in all afflictions
5067	My God in whom I trust
5068	I'll make my boast in Jesus
5069	The One who is my life
5070	His glory is my gladness
5071	In Him I'm satisfied
5072	Out of the Depths
5073	Out of the depths, O Lord, I cry to You
5074	When I am tempted to despair
5075	Though I might fail to trust Your promises
5076	You never fail to hear my prayer
5077	And if You judged my sin
5078	I'd never stand again
5079	But I see mercy in Your hands
5080	So more than watchmen for the morning
5081	I will wait for You, my God
5082	When my fears come with no warning
5083	In Your Word I'll put my trust
5084	When the harvest time is over and I still see no fruit
5085	I will wait, I will wait for You
5086	The secret mysteries belong to You
5087	We only know what You reveal
5088	And all my questions that are unresolved
5089	Don't change the wisdom of Your will
5090	In every trial and loss
5091	My hope is in the cross
5092	I Want to Be Where You Are
5093	How sweet the place where You dwell, O Lord
5094	My soul longs and faints for You
5095	My heart sings out a loud song of joy
5096	For I have known the living God
5097	I want to be where You are, O Lord
5098	I want to be where You are, O Lord
5099	I'd rather have just one day with You
5100	Than be anywhere else
5101	There's no good thing that You will withhold
5102	From those who live to follow You
5103	I'd rather be Your servant, O God
5104	Than have the riches of this world
5105	Those who follow You go from strength to strength
5106	Those who trust in You are filled with joy
5107	Those who follow You go from strength to strength
5108	Those who trust in You are filled with joy
5109	Your Holy Majesty
5110	You are high above all things
5111	The heavens can't contain
5112	Your radiance and Your beauty
5113	You shine brighter than the sun
5114	I'm ravished and undone
5115	You've conquered me completely
5116	Now I am longing for the time
5117	When I will see Your
5118	Holy, holy majesty
5119	Your glory and Your splendor
5120	Holy, holy majesty
5121	You fill my soul with wonder
5122	And unspeakable delight
5123	At just the sight
5124	Of Your holy majesty
5125	Why would You shed Your own blood
5126	For those who spurned Your love
5127	And so many times refused Your grace
5128	Why would You take up our curse
5129	Why did You love us first
5130	Oh You deserve eternal praise
5131	Now I am longing for the time
5132	When I will see Your
5133	Song of the Lamb
5134	Long ago
5135	Before You made the stars above
5136	You set Your everlasting love on us
5137	And Your love endures
5138	With tender cords
5139	You drew us who had strayed so far
5140	And like a might warrior stormed our hearts
5141	Until we were Yours
5142	So we will sing this song of gladness
5143	Lift our hearts and holy hands
5144	We will sing to You who loved us
5145	We'll sing the song of the Lamb
5146	We'll sing the song of the Lamb
5147	All our sins
5148	Have made a chasm deep and wide
5149	We could never reach the other side
5150	'Til You came to save
5151	Glorious God
5152	Emptied to become like us
5153	A humble servant taking up a cross
5154	To pour out Your grace
5155	And Can It Be That I Should Gain (Live)
5156	And can it be that I should gain
5157	An interest in the Savior's blood
5158	Died He for me, who caused His pain
5159	For me, who Him to death pursued?
5160	Amazing love! How can it be
5161	That Thou, my God, shouldst die for me?
5162	Amazing love! How can it be
5163	That Thou, my God, shouldst die for me?
5164	He left His Father's throne above
5165	So free, so infinite His grace
5166	Emptied Himself of all but love
5167	And bled for Adam's helpless race
5168	‘Tis mercy all, immense and free
5169	For O my God, it found out me!
5170	Amazing love! How can it be,
5171	That Thou, my God, shoudlst die for me?
5172	Long my imprisoned spirit lay,
5173	Fast bound in sin and nature's night
5174	Thine eye diffused a quickening ray
5175	I woke, the dungeon flamed with light
5176	My chains fell off, my heart was free
5177	I rose, went forth, and followed Thee
5178	Amazing love! How can it be
5179	That Thou, my God shouldst die for me?
5180	No condemnation now I dread
5181	Jesus, and all in Him, is mine
5182	Alive in Him, my living Head
5183	And clothed in righteousness divine
5184	Bold I approach the eternal throne
5185	And claim the crown, through Christ my own
5186	Amazing love! How can it be
5187	That Thou my God, shouldst die for me?
5188	Amazing love! How can it be
5189	That Thou my God, shouldst die for me?
5190	The Power of the Cross (Live)
5191	Oh, to see the dawn of the darkest day
5192	Christ on the road to Calvary
5193	Tried by sinful men, torn and beaten, then
5194	Nailed to a cross of wood
5195	This, the power of the cross
5196	Christ became sin for us
5197	Took the blame, bore the wrath
5198	We stand forgiven at the cross
5199	Oh, to see the pain written on Your face
5200	Bearing the awesome weight of sin
5201	Ev'ry bitter thought, ev'ry evil deed
5202	Crowning Your bloodstained brow
5203	Now the daylight flees, now the ground beneath
5204	Quakes as its Maker bows His head
5205	Curtain torn in two, dead are raised to life
5206	Finished the vict'ry cry
5207	Oh, to see my name written in the wounds
5208	For through Your suffering I am free
5209	Death is crushed to death, life is mine to live
5210	Won through Your selfless love
5211	This, the power of the cross
5212	Son of God, slain for us
5213	What a love, what a cost
5214	We stand forgiven at the cross
5215	I Will Glory in My Redeemer (Live)
5216	I will glory in my Redeemer
5217	Whose priceless blood has ransomed me
5218	Mine was the sin that drove the bitter nails
5219	And hung Him on that judgment tree
5220	I will glory in my Redeemer
5221	Who crushed the power of sin and death
5222	My only Savior before the holy Judge
5223	The Lamb who is my righteousness
5224	The Lamb who is my righteousness
5225	I will glory in my Redeemer
5226	My life He bought, my love He owns
5227	I have no longings for another
5228	I'm satisfied in Him alone
5229	I will glory in my Redeemer
5230	His faithfulness my standing place
5231	Though foes are mighty and rush upon me
5232	My feet are firm, held by His grace
5233	My feet are firm, held by His grace
5234	I will glory in my Redeemer
5235	Who carries me on eagles' wings
5236	He crowns my life with lovingkindness
5237	His triumph song I'll ever sing
5238	I will glory in my Redeemer
5239	Who waits for me at gates of gold
5240	And when He calls me, it will be paradise
5241	His face forever to behold
5242	I will glory in my Redeemer
5243	Who waits for me at gates of gold
5244	And when He calls me, it will be paradise
5245	His face forever to behold
5246	His face forever to behold
5247	His face forever to behold
5248	Come, Thou Fount of Every Blessing (Live)
5249	Come, Thou Fount of every blessing
5250	Tune my heart to sing Thy grace
5251	Streams of mercy never ceasing
5252	Call for songs of loudest praise
5253	Teach me some melodious sonnet
5254	Sung by flaming tongues above
5255	Praise the name! I'm fixed upon it
5256	Name of Thy redeeming love
5257	Hitherto Thy love has blessed me
5258	Thou hast brought me to this place
5259	And I know Thy hand will bring me
5260	Safely home by Thy good grace
5261	Jesus sought me when a stranger
5262	Wandering from the fold of God
5263	He, to rescue me from danger
5264	Interposed His precious blood
5265	Oh to grace how great a debtor
5266	Daily I'm constrained to be
5267	Let Thy goodness, like a fetter
5268	Bind my wandering heart to Thee
5269	Prone to wander, Lord, I feel it
5270	Prone to leave the God I love
5271	Here's my heart, oh take and seal it
5272	Seal it for Thy courts above
5273	Oh that day when freed from sinning
5274	I shall see Thy lovely face
5275	Full arrayed in blood-washed linen
5276	How I'll sing Thy sovereign grace
5277	Come, my Lord, no longer tarry
5278	Bring Thy promises to pass
5279	For I know Thy pow'r will keep me
5280	Till I'm home with Thee at last
5281	Oh the Deep, Deep Love (Live)
5282	Oh the deep, deep love of Jesus
5283	Vast, unmeasured, boundless, free
5284	Rolling as a mighty ocean
5285	In its fullness over me
5286	Underneath me, all around me
5287	Is the current of Your love
5288	Leading onward, leading homeward
5289	To Your glorious rest above
5290	Oh the deep, deep love
5291	All I need and trust
5292	Is the deep, deep love of Jesus
5293	Oh the deep, deep love of Jesus
5294	Spread His praise from shore to shore
5295	How He came to pay our ransom
5296	Through the saving cross He bore
5297	How He watches o'er His loved ones
5298	Those He died to make His own
5299	How for them He's interceding
5300	Pleading now before the throne
5301	Oh the deep, deep love
5302	All I need and trust
5303	Is the deep, deep love of Jesus
